Date,Day,Meal_Type,Headcount,Weather,Is_Exam,Is_Holiday,Food_Prepared,Food_Consumed
2022-01-01,Saturday,Breakfast,213,Cold,0,1,63.51,55.72
2022-01-01,Saturday,Lunch,194,Sunny,0,1,93.9,79.58
2022-01-01,Saturday,Dinner,234,Rainy,0,1,126.46,105.78
2022-01-02,Sunday,Breakfast,254,Sunny,0,1,64.07,59.46
2022-01-02,Sunday,Lunch,207,Sunny,0,1,100.49,91.88
2022-01-02,Sunday,Dinner,235,Sunny,0,1,124.44,112.62
2022-01-03,Monday,Breakfast,413,Rainy,0,0,109.39,97.05
2022-01-03,Monday,Lunch,422,Sunny,0,0,208.64,193.98
2022-01-03,Monday,Dinner,386,Cold,0,0,247.1,210.97
2022-01-04,Tuesday,Breakfast,403,Sunny,0,0,116.58,104.46
2022-01-04,Tuesday,Lunch,390,Sunny,0,0,188.83,159.16
2022-01-04,Tuesday,Dinner,399,Sunny,0,0,216.57,191.99
2022-01-05,Wednesday,Breakfast,419,Sunny,0,0,133.64,114.59
2022-01-05,Wednesday,Lunch,445,Rainy,0,0,242.61,204.17
2022-01-05,Wednesday,Dinner,388,Sunny,0,0,193.77,176.35
2022-01-06,Thursday,Breakfast,408,Sunny,0,0,119.96,108.71
2022-01-06,Thursday,Lunch,401,Sunny,0,0,196.02,167.49
2022-01-06,Thursday,Dinner,387,Cold,0,0,220.32,204.04
2022-01-07,Friday,Breakfast,382,Rainy,0,0,115.3,99.45
2022-01-07,Friday,Lunch,434,Sunny,0,0,202.56,189.77
2022-01-07,Friday,Dinner,440,Sunny,0,0,225.21,212.56
2022-01-08,Saturday,Breakfast,207,Sunny,0,1,62.01,54.13
2022-01-08,Saturday,Lunch,259,Sunny,0,1,124.58,107.68
2022-01-08,Saturday,Dinner,248,Sunny,0,1,146.94,130.72
2022-01-09,Sunday,Breakfast,227,Sunny,0,1,54.76,51.36
2022-01-09,Sunday,Lunch,182,Sunny,0,1,88.82,78.86
2022-01-09,Sunday,Dinner,261,Sunny,0,1,149.09,128.16
2022-01-10,Monday,Breakfast,397,Sunny,0,0,102.13,95.08
2022-01-10,Monday,Lunch,445,Rainy,0,0,242.74,205.59
2022-01-10,Monday,Dinner,436,Sunny,0,0,265.9,235.12
2022-01-11,Tuesday,Breakfast,437,Rainy,0,0,112.27,105.27
2022-01-11,Tuesday,Lunch,397,Sunny,0,0,224.04,190.01
2022-01-11,Tuesday,Dinner,382,Sunny,0,0,203.5,187.85
2022-01-12,Wednesday,Breakfast,390,Sunny,0,0,116.59,106.14
2022-01-12,Wednesday,Lunch,417,Rainy,0,0,218.26,182.53
2022-01-12,Wednesday,Dinner,447,Sunny,0,0,244.63,223.38
